
===========================================================================
HoloNet TEST INFERENCE
===========================================================================
Device:              cuda
Model:               best_model_fft_final.pth
Patch size:          256
Patches/image:      64

Training Z normalization:
  Z mean = 30.59822877
  Z std  = 21.75293980

Number of test images: 5653
Model loaded successfully.

Image | Z_GT | Z_pred | Abs Error | Time(s)
73356.tiff | 25.591 | 24.740 | 0.851 | 0.0330
74680.tiff | 12.533 | 17.371 | 4.838 | 0.0330
68887.tiff | 7.345 | 9.810 | 2.465 | 0.0330
68853.tiff | 4.557 | 7.050 | 2.493 | 0.0330
73813.tiff | 10.101 | 8.624 | 1.478 | 0.0330
67933.tiff | 39.946 | 45.793 | 5.847 | 0.0330
67993.tiff | 44.552 | 49.655 | 5.103 | 0.0330
66433.tiff | 41.345 | 43.964 | 2.619 | 0.0330
67665.tiff | 19.128 | 23.170 | 4.041 | 0.0330
69608.tiff | 8.344 | 8.823 | 0.480 | 0.0330
70633.tiff | 6.489 | 7.781 | 1.292 | 0.0330
67936.tiff | 40.214 | 46.037 | 5.823 | 0.0330
72728.tiff | 11.460 | 12.098 | 0.638 | 0.0330
72513.tiff | 6.357 | 7.381 | 1.025 | 0.0330
70021.tiff | 40.023 | 40.529 | 0.506 | 0.0330
69681.tiff | 13.969 | 13.691 | 0.277 | 0.0330
75180.tiff | 43.729 | 44.178 | 0.449 | 0.0330
75704.tiff | 2.495 | 7.192 | 4.697 | 0.0330
70937.tiff | 20.264 | 20.046 | 0.218 | 0.0330
66845.tiff | 6.426 | 5.843 | 0.583 | 0.0330
66262.tiff | 54.503 | 54.476 | 0.027 | 0.0330
68474.tiff | 27.040 | 26.886 | 0.154 | 0.0330
75927.tiff | 14.725 | 8.777 | 5.948 | 0.0330
66304.tiff | 51.806 | 53.714 | 1.908 | 0.0330
75655.tiff | 6.226 | 10.541 | 4.315 | 0.0330
71931.tiff | 24.173 | 27.732 | 3.559 | 0.0330
68670.tiff | 10.632 | 9.981 | 0.651 | 0.0330
73420.tiff | 20.663 | 20.582 | 0.081 | 0.0330
72501.tiff | 7.341 | 8.473 | 1.131 | 0.0330
74216.tiff | 26.694 | 23.171 | 3.523 | 0.0330
70964.tiff | 22.543 | 22.121 | 0.422 | 0.0330
73244.tiff | 36.803 | 38.697 | 1.893 | 0.0330
75448.tiff | 22.309 | 25.565 | 3.256 | 0.0330
74084.tiff | 30.889 | 27.961 | 2.927 | 0.0330
72285.tiff | 25.352 | 27.484 | 2.132 | 0.0330
70864.tiff | 14.187 | 14.420 | 0.233 | 0.0330
70564.tiff | 12.297 | 13.411 | 1.114 | 0.0330
74948.tiff | 34.693 | 41.297 | 6.604 | 0.0330
71497.tiff | 7.997 | 10.366 | 2.369 | 0.0330
74906.tiff | 31.209 | 38.783 | 7.574 | 0.0330
68781.tiff | 1.426 | 3.737 | 2.311 | 0.0330
73911.tiff | 17.566 | 15.268 | 2.298 | 0.0330
69336.tiff | 11.816 | 11.499 | 0.316 | 0.0330
65468.tiff | 14.684 | 15.295 | 0.611 | 0.0330
66840.tiff | 7.165 | 6.343 | 0.822 | 0.0330
66692.tiff | 19.555 | 18.240 | 1.315 | 0.0330
70480.tiff | 19.165 | 20.891 | 1.726 | 0.0330
74745.tiff | 17.879 | 22.602 | 4.723 | 0.0330
67237.tiff | 12.538 | 11.579 | 0.959 | 0.0330
69711.tiff | 16.265 | 15.821 | 0.443 | 0.0330
65107.tiff | 6.043 | 8.394 | 2.351 | 0.0330
73629.tiff | 4.162 | 5.653 | 1.491 | 0.0330
73148.tiff | 44.242 | 44.635 | 0.393 | 0.0330
65591.tiff | 24.044 | 24.006 | 0.037 | 0.0330
67211.tiff | 14.618 | 13.614 | 1.004 | 0.0330
74996.tiff | 38.669 | 43.748 | 5.078 | 0.0330
68874.tiff | 6.309 | 8.687 | 2.378 | 0.0330
70754.tiff | 3.558 | 4.463 | 0.906 | 0.0330
71835.tiff | 16.534 | 20.190 | 3.656 | 0.0330
74258.tiff | 23.265 | 19.657 | 3.608 | 0.0330
70150.tiff | 46.772 | 46.988 | 0.216 | 0.0330
70936.tiff | 20.216 | 20.145 | 0.071 | 0.0330
66460.tiff | 39.070 | 41.112 | 2.042 | 0.0330
65800.tiff | 39.820 | 41.678 | 1.858 | 0.0330
74567.tiff | 3.129 | 7.719 | 4.589 | 0.0330
75959.tiff | 17.182 | 11.051 | 6.130 | 0.0330
75013.tiff | 39.975 | 44.569 | 4.594 | 0.0330
75067.tiff | 43.212 | 43.853 | 0.642 | 0.0330
68308.tiff | 40.962 | 43.667 | 2.705 | 0.0330
73646.tiff | 2.818 | 4.778 | 1.960 | 0.0330
75640.tiff | 7.411 | 11.568 | 4.157 | 0.0330
72213.tiff | 31.357 | 34.381 | 3.024 | 0.0330
73142.tiff | 44.744 | 44.286 | 0.458 | 0.0330
69416.tiff | 5.749 | 5.743 | 0.006 | 0.0330
72714.tiff | 10.353 | 10.643 | 0.290 | 0.0330
68280.tiff | 42.784 | 47.050 | 4.266 | 0.0330
76146.tiff | 30.889 | 46.492 | 15.603 | 0.0330
75001.tiff | 39.114 | 43.924 | 4.810 | 0.0330
69113.tiff | 26.393 | 23.591 | 2.802 | 0.0330
75427.tiff | 23.679 | 26.742 | 3.063 | 0.0330
73864.tiff | 13.977 | 12.387 | 1.590 | 0.0330
71597.tiff | 0.332 | 4.204 | 3.871 | 0.0330
71716.tiff | 8.983 | 6.384 | 2.600 | 0.0330
71606.tiff | 0.451 | 3.715 | 3.264 | 0.0330
72823.tiff | 19.382 | 19.220 | 0.162 | 0.0330
69355.tiff | 10.364 | 10.019 | 0.345 | 0.0330
67575.tiff | 13.232 | 14.241 | 1.009 | 0.0330
65030.tiff | 0.390 | 3.179 | 2.789 | 0.0330
73493.tiff | 15.027 | 15.774 | 0.747 | 0.0330
68828.tiff | 2.481 | 5.220 | 2.739 | 0.0330
74553.tiff | 2.037 | 6.691 | 4.654 | 0.0330
75382.tiff | 27.656 | 30.915 | 3.258 | 0.0330
65466.tiff | 14.500 | 14.927 | 0.427 | 0.0330
73841.tiff | 12.253 | 10.544 | 1.710 | 0.0330
69506.tiff | 1.072 | 4.096 | 3.025 | 0.0330
66598.tiff | 27.556 | 26.522 | 1.034 | 0.0330
65569.tiff | 22.370 | 22.083 | 0.287 | 0.0330
70651.tiff | 4.968 | 6.332 | 1.364 | 0.0330
68394.tiff | 33.738 | 35.769 | 2.031 | 0.0330
74734.tiff | 17.000 | 21.845 | 4.846 | 0.0330
69368.tiff | 9.421 | 9.091 | 0.330 | 0.0330
66246.tiff | 55.851 | 56.011 | 0.160 | 0.0330
65218.tiff | 3.798 | 3.276 | 0.523 | 0.0330
70749.tiff | 3.205 | 4.136 | 0.931 | 0.0330
66459.tiff | 39.158 | 41.122 | 1.964 | 0.0330
69099.tiff | 25.247 | 22.743 | 2.504 | 0.0330
65317.tiff | 4.033 | 5.346 | 1.313 | 0.0330
65109.tiff | 6.213 | 8.408 | 2.194 | 0.0330
75019.tiff | 40.566 | 44.328 | 3.762 | 0.0330
67413.tiff | 0.848 | 4.036 | 3.188 | 0.0330
67200.tiff | 15.483 | 14.313 | 1.170 | 0.0330
67222.tiff | 13.775 | 12.953 | 0.821 | 0.0330
68182.tiff | 50.930 | 55.957 | 5.027 | 0.0330
73300.tiff | 32.404 | 34.620 | 2.217 | 0.0330
69112.tiff | 26.251 | 23.561 | 2.690 | 0.0330
68106.tiff | 53.185 | 58.149 | 4.964 | 0.0330
67900.tiff | 37.433 | 43.700 | 6.267 | 0.0330
69809.tiff | 23.694 | 23.647 | 0.047 | 0.0330
67103.tiff | 18.001 | 15.534 | 2.467 | 0.0330
66091.tiff | 62.040 | 63.078 | 1.038 | 0.0330
72984.tiff | 32.683 | 33.604 | 0.922 | 0.0330
75757.tiff | 1.533 | 3.845 | 2.312 | 0.0330
70516.tiff | 16.195 | 17.600 | 1.405 | 0.0330
67983.tiff | 43.783 | 48.961 | 5.178 | 0.0330
67920.tiff | 38.948 | 44.970 | 6.022 | 0.0330
68026.tiff | 47.067 | 52.475 | 5.409 | 0.0330
75624.tiff | 8.670 | 12.824 | 4.154 | 0.0330
74845.tiff | 26.148 | 32.409 | 6.261 | 0.0330
67146.tiff | 19.577 | 17.158 | 2.418 | 0.0330
76028.tiff | 22.511 | 16.023 | 6.488 | 0.0330
69348.tiff | 10.933 | 10.728 | 0.206 | 0.0330
73332.tiff | 29.512 | 31.609 | 2.097 | 0.0330
71358.tiff | 18.708 | 20.075 | 1.367 | 0.0330
73776.tiff | 7.187 | 5.943 | 1.244 | 0.0330
72364.tiff | 18.816 | 20.667 | 1.851 | 0.0330
70944.tiff | 20.834 | 20.627 | 0.207 | 0.0330
74871.tiff | 28.217 | 35.256 | 7.038 | 0.0330
73426.tiff | 20.241 | 20.243 | 0.001 | 0.0330
65974.tiff | 53.032 | 53.994 | 0.962 | 0.0330
67021.tiff | 11.133 | 9.581 | 1.552 | 0.0330
74459.tiff | 5.867 | 3.575 | 2.291 | 0.0330
69955.tiff | 34.872 | 35.791 | 0.919 | 0.0330
69953.tiff | 34.780 | 35.728 | 0.949 | 0.0330
74200.tiff | 28.032 | 24.665 | 3.367 | 0.0330
76089.tiff | 27.278 | 20.854 | 6.425 | 0.0330
66455.tiff | 39.499 | 41.541 | 2.042 | 0.0330
76042.tiff | 23.619 | 16.939 | 6.680 | 0.0330
69163.tiff | 25.115 | 22.673 | 2.442 | 0.0330
72760.tiff | 14.105 | 14.204 | 0.100 | 0.0330
72074.tiff | 34.240 | 37.942 | 3.702 | 0.0330
74920.tiff | 32.332 | 39.773 | 7.441 | 0.0330
66375.tiff | 45.873 | 48.542 | 2.670 | 0.0330
71729.tiff | 9.007 | 6.276 | 2.730 | 0.0330
65577.tiff | 22.980 | 22.805 | 0.175 | 0.0330
68352.tiff | 37.297 | 40.114 | 2.817 | 0.0330
68083.tiff | 51.409 | 56.726 | 5.317 | 0.0330
72301.tiff | 24.060 | 26.138 | 2.078 | 0.0330
71621.tiff | 1.565 | 3.584 | 2.019 | 0.0330
74558.tiff | 2.443 | 7.160 | 4.717 | 0.0330
65411.tiff | 10.919 | 11.792 | 0.874 | 0.0330
66321.tiff | 50.346 | 52.384 | 2.038 | 0.0330
65778.tiff | 38.139 | 39.692 | 1.553 | 0.0330
75652.tiff | 6.450 | 10.617 | 4.167 | 0.0330
70956.tiff | 21.873 | 21.670 | 0.203 | 0.0330
71429.tiff | 13.237 | 15.302 | 2.064 | 0.0330
65011.tiff | 1.995 | 2.580 | 0.586 | 0.0330
74994.tiff | 38.489 | 43.669 | 5.180 | 0.0330
66972.tiff | 6.928 | 5.281 | 1.647 | 0.0330
69675.tiff | 13.455 | 13.263 | 0.191 | 0.0330
74146.tiff | 32.469 | 29.647 | 2.823 | 0.0330
66218.tiff | 58.215 | 58.542 | 0.327 | 0.0330
70377.tiff | 27.343 | 30.231 | 2.888 | 0.0330
68285.tiff | 42.318 | 46.611 | 4.293 | 0.0330
65719.tiff | 33.668 | 34.239 | 0.572 | 0.0330
69784.tiff | 21.778 | 21.675 | 0.103 | 0.0330
73056.tiff | 38.697 | 39.661 | 0.965 | 0.0330
72476.tiff | 9.418 | 10.932 | 1.514 | 0.0330
67649.tiff | 17.930 | 22.314 | 4.384 | 0.0330
75328.tiff | 31.871 | 36.557 | 4.687 | 0.0330
65737.tiff | 35.054 | 35.977 | 0.923 | 0.0330
65736.tiff | 34.938 | 35.998 | 1.060 | 0.0330
70280.tiff | 35.443 | 39.086 | 3.643 | 0.0330
71839.tiff | 16.774 | 20.596 | 3.822 | 0.0330
68185.tiff | 50.737 | 55.640 | 4.904 | 0.0330
68980.tiff | 15.366 | 14.077 | 1.289 | 0.0330
65093.tiff | 4.920 | 7.591 | 2.671 | 0.0330
74354.tiff | 15.034 | 11.380 | 3.654 | 0.0330
68754.tiff | 3.674 | 4.354 | 0.680 | 0.0330
66471.tiff | 38.196 | 40.092 | 1.896 | 0.0330
65910.tiff | 48.091 | 49.875 | 1.784 | 0.0330
70008.tiff | 39.029 | 39.548 | 0.519 | 0.0330
75295.tiff | 34.719 | 39.037 | 4.317 | 0.0330
75233.tiff | 39.514 | 42.395 | 2.881 | 0.0330
66352.tiff | 47.771 | 50.275 | 2.504 | 0.0330
65497.tiff | 16.844 | 17.042 | 0.198 | 0.0330
69725.tiff | 17.302 | 17.018 | 0.284 | 0.0330
65074.tiff | 3.242 | 6.051 | 2.810 | 0.0330
68018.tiff | 46.452 | 51.659 | 5.206 | 0.0330
67515.tiff | 8.636 | 10.051 | 1.415 | 0.0330
71089.tiff | 32.906 | 33.163 | 0.257 | 0.0330
67883.tiff | 36.179 | 42.362 | 6.183 | 0.0330
66207.tiff | 59.155 | 59.495 | 0.341 | 0.0330
73887.tiff | 15.712 | 13.780 | 1.932 | 0.0330
66176.tiff | 61.805 | 62.370 | 0.565 | 0.0330
73571.tiff | 8.587 | 9.844 | 1.257 | 0.0330
68544.tiff | 21.180 | 20.641 | 0.539 | 0.0330
69982.tiff | 36.998 | 37.897 | 0.900 | 0.0330
66196.tiff | 60.059 | 60.590 | 0.531 | 0.0330
69458.tiff | 2.567 | 4.051 | 1.484 | 0.0330
72347.tiff | 20.140 | 22.010 | 1.870 | 0.0330
69813.tiff | 23.977 | 23.698 | 0.279 | 0.0330
71838.tiff | 16.744 | 20.479 | 3.735 | 0.0330
66369.tiff | 46.362 | 48.818 | 2.456 | 0.0330
68972.tiff | 14.640 | 13.424 | 1.216 | 0.0330
66370.tiff | 46.265 | 48.900 | 2.635 | 0.0330
70423.tiff | 23.513 | 26.001 | 2.488 | 0.0330
69890.tiff | 29.937 | 30.377 | 0.440 | 0.0330
71153.tiff | 34.426 | 35.438 | 1.012 | 0.0330
65289.tiff | 1.953 | 3.748 | 1.795 | 0.0330
73067.tiff | 39.638 | 41.223 | 1.584 | 0.0330
68425.tiff | 31.179 | 32.676 | 1.497 | 0.0330
67361.tiff | 3.136 | 3.845 | 0.710 | 0.0330
72991.tiff | 33.270 | 34.219 | 0.948 | 0.0330
67792.tiff | 29.244 | 34.994 | 5.750 | 0.0330
75830.tiff | 7.222 | 3.755 | 3.467 | 0.0330
72061.tiff | 33.976 | 37.638 | 3.661 | 0.0330
75925.tiff | 14.532 | 8.945 | 5.587 | 0.0330
69393.tiff | 7.524 | 7.143 | 0.381 | 0.0330
65389.tiff | 9.479 | 10.534 | 1.055 | 0.0330
65837.tiff | 42.660 | 44.922 | 2.263 | 0.0330
74904.tiff | 30.984 | 38.267 | 7.283 | 0.0330
68380.tiff | 34.873 | 37.144 | 2.271 | 0.0330
73869.tiff | 14.355 | 12.409 | 1.946 | 0.0330
72440.tiff | 12.400 | 13.908 | 1.508 | 0.0330
76055.tiff | 24.493 | 17.830 | 6.663 | 0.0330
67875.tiff | 35.557 | 41.975 | 6.418 | 0.0330
70197.tiff | 42.883 | 42.980 | 0.097 | 0.0330
70235.tiff | 39.214 | 43.461 | 4.247 | 0.0330
74774.tiff | 20.247 | 24.909 | 4.662 | 0.0330
66113.tiff | 63.653 | 64.412 | 0.759 | 0.0330
72277.tiff | 26.034 | 28.378 | 2.344 | 0.0330
75827.tiff | 6.967 | 3.653 | 3.313 | 0.0330
74559.tiff | 2.465 | 7.113 | 4.648 | 0.0330
71209.tiff | 30.157 | 30.413 | 0.257 | 0.0330
70759.tiff | 4.009 | 4.724 | 0.715 | 0.0330
74299.tiff | 19.845 | 16.208 | 3.637 | 0.0331
71935.tiff | 24.522 | 27.859 | 3.337 | 0.0330
75412.tiff | 25.326 | 28.282 | 2.957 | 0.0330
65268.tiff | 0.319 | 2.927 | 2.607 | 0.0330
67466.tiff | 4.926 | 6.790 | 1.865 | 0.0330
72236.tiff | 29.425 | 32.002 | 2.577 | 0.0330
70350.tiff | 29.653 | 33.464 | 3.812 | 0.0330
68679.tiff | 9.910 | 9.212 | 0.698 | 0.0330
72560.tiff | 2.493 | 4.232 | 1.739 | 0.0330
69716.tiff | 16.605 | 16.310 | 0.295 | 0.0330
66897.tiff | 0.634 | 4.166 | 3.533 | 0.0330
68306.tiff | 40.000 | 44.727 | 4.726 | 0.0330
69552.tiff | 4.043 | 5.308 | 1.265 | 0.0330
69388.tiff | 7.851 | 7.488 | 0.363 | 0.0330
72077.tiff | 34.323 | 38.006 | 3.683 | 0.0330
70808.tiff | 9.457 | 9.342 | 0.115 | 0.0330
71028.tiff | 27.888 | 27.196 | 0.692 | 0.0330
70174.tiff | 44.784 | 44.926 | 0.142 | 0.0330
69450.tiff | 3.171 | 4.272 | 1.101 | 0.0330
73102.tiff | 42.566 | 42.998 | 0.432 | 0.0330
73949.tiff | 20.434 | 17.914 | 2.520 | 0.0330
73894.tiff | 16.241 | 14.261 | 1.981 | 0.0330
75357.tiff | 29.590 | 33.648 | 4.058 | 0.0330
65417.tiff | 11.061 | 11.924 | 0.862 | 0.0330
72153.tiff | 36.292 | 39.675 | 3.383 | 0.0330
71356.tiff | 18.859 | 20.029 | 1.171 | 0.0330
72616.tiff | 2.201 | 3.602 | 1.401 | 0.0330
73976.tiff | 22.535 | 20.096 | 2.439 | 0.0330
65621.tiff | 26.267 | 25.988 | 0.279 | 0.0330
66704.tiff | 18.613 | 17.296 | 1.318 | 0.0330
66954.tiff | 5.455 | 4.033 | 1.422 | 0.0330
68211.tiff | 48.515 | 53.298 | 4.784 | 0.0330
68283.tiff | 42.470 | 46.763 | 4.294 | 0.0330
73533.tiff | 11.919 | 13.198 | 1.278 | 0.0330
69296.tiff | 14.926 | 14.661 | 0.264 | 0.0330
75139.tiff | 46.889 | 45.609 | 1.280 | 0.0330
75796.tiff | 4.581 | 3.169 | 1.412 | 0.0330
70095.tiff | 45.694 | 46.332 | 0.639 | 0.0330
69978.tiff | 36.671 | 37.482 | 0.811 | 0.0330
67408.tiff | 0.441 | 3.831 | 3.390 | 0.0330
73199.tiff | 40.307 | 41.895 | 1.588 | 0.0330
71136.tiff | 35.721 | 36.947 | 1.226 | 0.0330
73798.tiff | 8.957 | 7.393 | 1.564 | 0.0330
65009.tiff | 2.156 | 2.531 | 0.376 | 0.0330
70067.tiff | 43.513 | 44.053 | 0.540 | 0.0330
65469.tiff | 14.749 | 15.258 | 0.509 | 0.0330
75891.tiff | 11.916 | 6.754 | 5.163 | 0.0330
72667.tiff | 6.393 | 6.558 | 0.165 | 0.0330
67614.tiff | 15.203 | 19.745 | 4.542 | 0.0330
69533.tiff | 2.899 | 4.790 | 1.891 | 0.0330
65922.tiff | 49.125 | 50.566 | 1.441 | 0.0330
66191.tiff | 60.479 | 61.008 | 0.529 | 0.0330
73817.tiff | 10.413 | 8.898 | 1.515 | 0.0330
70380.tiff | 27.098 | 30.148 | 3.050 | 0.0330
70379.tiff | 27.181 | 30.150 | 2.969 | 0.0330
71532.tiff | 5.326 | 7.864 | 2.539 | 0.0330
74098.tiff | 32.018 | 29.240 | 2.778 | 0.0330
75985.tiff | 19.214 | 12.985 | 6.229 | 0.0330
74869.tiff | 28.119 | 35.149 | 7.030 | 0.0330
68486.tiff | 25.987 | 25.938 | 0.050 | 0.0330
65869.tiff | 45.079 | 47.202 | 2.123 | 0.0330
70027.tiff | 40.489 | 40.795 | 0.306 | 0.0330
66507.tiff | 35.126 | 36.210 | 1.084 | 0.0330
75425.tiff | 24.321 | 27.099 | 2.778 | 0.0330
68911.tiff | 9.344 | 12.099 | 2.755 | 0.0330
70595.tiff | 9.692 | 10.900 | 1.208 | 0.0330
67352.tiff | 3.835 | 4.027 | 0.191 | 0.0330
74461.tiff | 5.645 | 3.323 | 2.322 | 0.0330
75950.tiff | 16.513 | 10.410 | 6.103 | 0.0330
72568.tiff | 1.898 | 3.895 | 1.997 | 0.0330
76027.tiff | 22.447 | 16.127 | 6.321 | 0.0330
65971.tiff | 52.865 | 53.575 | 0.710 | 0.0330
65795.tiff | 39.411 | 41.262 | 1.851 | 0.0330
72941.tiff | 29.149 | 29.249 | 0.100 | 0.0330
65731.tiff | 34.583 | 35.246 | 0.663 | 0.0330
71436.tiff | 12.698 | 14.763 | 2.065 | 0.0330
69050.tiff | 21.201 | 19.018 | 2.183 | 0.0330
69404.tiff | 6.674 | 6.501 | 0.173 | 0.0330
72524.tiff | 5.460 | 6.408 | 0.948 | 0.0330
74333.tiff | 16.997 | 13.116 | 3.881 | 0.0330
68470.tiff | 27.379 | 27.345 | 0.034 | 0.0330
67981.tiff | 43.617 | 48.832 | 5.214 | 0.0330
73584.tiff | 7.663 | 8.832 | 1.169 | 0.0330
74384.tiff | 12.030 | 8.297 | 3.733 | 0.0330
70313.tiff | 32.692 | 36.561 | 3.870 | 0.0330
67319.tiff | 6.332 | 5.853 | 0.479 | 0.0330
66806.tiff | 10.015 | 9.213 | 0.801 | 0.0330
69097.tiff | 24.964 | 22.417 | 2.547 | 0.0330
68888.tiff | 7.472 | 10.026 | 2.555 | 0.0330
76032.tiff | 22.770 | 16.027 | 6.743 | 0.0330
66890.tiff | 0.099 | 4.264 | 4.165 | 0.0330
65705.tiff | 32.630 | 33.037 | 0.407 | 0.0330
68468.tiff | 27.509 | 27.642 | 0.133 | 0.0330
69961.tiff | 35.401 | 36.365 | 0.964 | 0.0330
68462.tiff | 28.021 | 28.132 | 0.111 | 0.0330
66200.tiff | 59.725 | 60.297 | 0.572 | 0.0330
65246.tiff | 1.328 | 2.509 | 1.181 | 0.0330
72953.tiff | 30.115 | 30.667 | 0.553 | 0.0330
75995.tiff | 19.923 | 13.408 | 6.514 | 0.0330
71207.tiff | 30.301 | 30.576 | 0.275 | 0.0330
66079.tiff | 61.095 | 61.963 | 0.868 | 0.0330
67141.tiff | 19.945 | 17.358 | 2.587 | 0.0330
68167.tiff | 52.208 | 57.192 | 4.984 | 0.0330
67685.tiff | 20.724 | 24.919 | 4.195 | 0.0330
70077.tiff | 44.353 | 44.846 | 0.493 | 0.0330
68220.tiff | 47.737 | 52.677 | 4.940 | 0.0330
75951.tiff | 16.508 | 10.333 | 6.175 | 0.0330
67974.tiff | 43.141 | 48.309 | 5.168 | 0.0330
73032.tiff | 36.705 | 37.713 | 1.008 | 0.0330
69538.tiff | 3.027 | 4.794 | 1.767 | 0.0330
69644.tiff | 11.103 | 11.224 | 0.121 | 0.0330
68016.tiff | 46.287 | 51.695 | 5.408 | 0.0330
75901.tiff | 12.671 | 7.322 | 5.349 | 0.0330
71727.tiff | 8.730 | 6.190 | 2.541 | 0.0330
66112.tiff | 63.639 | 64.395 | 0.756 | 0.0330
74169.tiff | 30.634 | 27.437 | 3.198 | 0.0330
74685.tiff | 12.970 | 17.851 | 4.881 | 0.0330
73632.tiff | 3.941 | 5.556 | 1.615 | 0.0330
74002.tiff | 24.550 | 21.967 | 2.583 | 0.0330
69668.tiff | 12.961 | 13.076 | 0.115 | 0.0330
71637.tiff | 2.795 | 3.286 | 0.491 | 0.0330
74270.tiff | 22.222 | 18.608 | 3.614 | 0.0330
67465.tiff | 4.798 | 6.549 | 1.750 | 0.0330
65249.tiff | 1.138 | 2.634 | 1.497 | 0.0331
71780.tiff | 12.286 | 16.020 | 3.735 | 0.0330
74378.tiff | 12.518 | 8.877 | 3.641 | 0.0330
65064.tiff | 2.497 | 5.267 | 2.771 | 0.0330
73351.tiff | 25.957 | 25.209 | 0.748 | 0.0330
68843.tiff | 3.725 | 6.159 | 2.434 | 0.0330
72676.tiff | 7.197 | 7.323 | 0.126 | 0.0330
68450.tiff | 29.081 | 29.395 | 0.315 | 0.0330
66487.tiff | 36.897 | 38.155 | 1.258 | 0.0330
70818.tiff | 10.327 | 10.422 | 0.095 | 0.0330
70968.tiff | 22.905 | 22.500 | 0.406 | 0.0330
66966.tiff | 6.464 | 4.821 | 1.643 | 0.0330
65606.tiff | 25.168 | 24.612 | 0.555 | 0.0330
75065.tiff | 43.047 | 43.851 | 0.804 | 0.0330
70938.tiff | 20.396 | 20.273 | 0.123 | 0.0330
66534.tiff | 32.954 | 33.377 | 0.424 | 0.0330
70205.tiff | 42.276 | 42.119 | 0.157 | 0.0330
70901.tiff | 17.244 | 17.273 | 0.029 | 0.0330
73197.tiff | 40.408 | 41.515 | 1.107 | 0.0330
68091.tiff | 52.066 | 57.328 | 5.263 | 0.0330
66356.tiff | 47.293 | 49.616 | 2.322 | 0.0330
69101.tiff | 25.387 | 22.673 | 2.714 | 0.0330
69148.tiff | 26.224 | 23.666 | 2.559 | 0.0330
67590.tiff | 14.389 | 14.979 | 0.590 | 0.0330
69641.tiff | 10.914 | 11.087 | 0.173 | 0.0330
66331.tiff | 49.537 | 51.625 | 2.087 | 0.0330
69682.tiff | 13.988 | 13.766 | 0.221 | 0.0330
66003.tiff | 55.270 | 55.941 | 0.671 | 0.0330
66953.tiff | 5.372 | 4.055 | 1.317 | 0.0330
72192.tiff | 33.047 | 36.195 | 3.148 | 0.0330
69970.tiff | 36.034 | 36.889 | 0.855 | 0.0330
72757.tiff | 13.905 | 14.187 | 0.281 | 0.0330
66083.tiff | 61.410 | 62.311 | 0.901 | 0.0330
70339.tiff | 30.532 | 34.298 | 3.765 | 0.0330
67532.tiff | 9.978 | 11.325 | 1.346 | 0.0330
66040.tiff | 58.122 | 59.104 | 0.982 | 0.0330
74927.tiff | 32.914 | 40.290 | 7.376 | 0.0330
76109.tiff | 28.816 | 22.542 | 6.274 | 0.0330
66661.tiff | 22.240 | 20.890 | 1.350 | 0.0330
66027.tiff | 57.092 | 57.871 | 0.779 | 0.0330
73558.tiff | 9.610 | 10.992 | 1.382 | 0.0330
65264.tiff | 0.031 | 2.802 | 2.771 | 0.0330
71577.tiff | 1.834 | 5.056 | 3.222 | 0.0330
66248.tiff | 55.696 | 55.874 | 0.178 | 0.0330
75881.tiff | 11.105 | 6.247 | 4.858 | 0.0330
75182.tiff | 43.537 | 44.142 | 0.605 | 0.0330
65656.tiff | 28.937 | 28.548 | 0.389 | 0.0330
65624.tiff | 26.526 | 26.022 | 0.504 | 0.0330
76191.tiff | 32.000 | 69.252 | 37.251 | 0.0330
71581.tiff | 1.561 | 4.851 | 3.290 | 0.0330
65958.tiff | 51.827 | 52.962 | 1.135 | 0.0330
73006.tiff | 34.549 | 35.381 | 0.831 | 0.0330
70338.tiff | 30.658 | 34.446 | 3.787 | 0.0330
74868.tiff | 28.056 | 34.862 | 6.806 | 0.0330
67716.tiff | 23.402 | 27.758 | 4.355 | 0.0330
68149.tiff | 53.701 | 58.472 | 4.770 | 0.0330
71509.tiff | 7.112 | 9.459 | 2.347 | 0.0330
73219.tiff | 38.720 | 40.109 | 1.389 | 0.0330
66167.tiff | 62.524 | 63.150 | 0.626 | 0.0330
66108.tiff | 63.335 | 64.047 | 0.713 | 0.0330
72774.tiff | 15.297 | 15.395 | 0.098 | 0.0330
74830.tiff | 24.866 | 30.543 | 5.677 | 0.0330
74159.tiff | 31.455 | 28.398 | 3.057 | 0.0330
71759.tiff | 10.609 | 14.533 | 3.924 | 0.0330
75338.tiff | 31.039 | 35.525 | 4.486 | 0.0330
66594.tiff | 27.919 | 26.585 | 1.334 | 0.0330
67128.tiff | 20.109 | 17.567 | 2.542 | 0.0330
70872.tiff | 14.849 | 15.093 | 0.243 | 0.0330
67586.tiff | 14.069 | 14.608 | 0.539 | 0.0330
70909.tiff | 17.918 | 17.982 | 0.065 | 0.0330
65578.tiff | 23.019 | 22.816 | 0.203 | 0.0330
70768.tiff | 4.815 | 5.033 | 0.218 | 0.0330
74356.tiff | 14.615 | 10.922 | 3.692 | 0.0330
73423.tiff | 20.457 | 20.473 | 0.016 | 0.0330
71753.tiff | 10.145 | 14.031 | 3.885 | 0.0330
74305.tiff | 19.312 | 15.511 | 3.801 | 0.0330
70236.tiff | 39.104 | 43.222 | 4.118 | 0.0330
66747.tiff | 15.075 | 14.139 | 0.936 | 0.0330
